seed,phase,pulse,event_file,onset_s,input_events,sensory_spikes,total_spikes,resource_before,resource_after,aBN1,aBN1_latency_ms,aBN1_v_before_mV,aBN1_g_before_mV,aDN1,aDN1_latency_ms,aDN1_v_before_mV,aDN1_g_before_mV,aDN2,aDN2_latency_ms,aDN2_v_before_mV,aDN2_g_before_mV,both_reset_full_event_equivalence,bypass_full_event_equivalence
1702,train,6,s1702_train06.parquet,3.0,2080,2054,2338,0.5267898760641103,0.4681610401676596,0,,-51.99999966748423,2.1024261997523495e-26,0,,-51.99999873407556,2.2395713513741382e-26,0,,-51.999998250459136,3.063834789784617e-26,,
1702,train,7,s1702_train07.parquet,3.5,2080,2054,2325,0.5187722087743747,0.4629539204151877,0,,-51.99999811711015,1.9470040140228607e-26,0,,-52.00000002209504,-1.6521368532351754e-28,0,,-51.99999999999894,1.1397698195971696e-69,,
1702,train,8,s1702_train08.parquet,4.0,2080,2054,2324,0.5140606119821439,0.4598854754018771,0,,-51.99999793366903,3.358919500659405e-26,0,,-52.00000002650258,-4.617431736538792e-28,0,,-51.99999999999894,4.2400303240759527e-113,,
1702,train,9,s1702_train09.parquet,4.5,2080,2054,2327,0.5112841681189148,0.4580724335551057,0,,-51.99999794108396,3.61987935492809e-26,0,,-52.00000002701323,-4.905497661213425e-28,0,,-51.99999999999894,1.5773234946190763e-156,,
1702,train,10,s1702_train10.parquet,5.0,2080,2054,2323,0.5096436600154909,0.4569983594879551,0,,-51.99999792405919,3.4901232569953124e-26,0,,-52.00000002921204,-7.024045191882501e-28,0,,-51.99999999999894,5.867763238744181e-200,,
1702,train,11,s1702_train11.parquet,5.5,2080,2054,2324,0.5086717976097912,0.4563604394714267,0,,-51.99999785125794,3.6493675847097256e-26,0,,-52.00000002957332,-7.311899747391189e-28,0,,-51.99999999999894,2.1828525057424962e-243,,
1702,sham,-1,s1702_sham.parquet,6.0,2080,2054,2324,0.508094583709122,0.4559806235442307,0,,-51.9999978665467,3.5931820975605205e-26,0,,-52.00000002922353,-6.8883563373352255e-28,0,,-51.99999999999894,8.120377165807505e-287,,
1702,resource_reset,-1,s1702_resource_reset.parquet,6.0,2080,2054,2758,1.0,0.7710682253694335,9,19.09999999999989,-51.9999978665467,3.5931820975605205e-26,2,60.900000000000176,-52.00000002922353,-6.8883563373352255e-28,3,39.60000000000008,-51.99999999999894,8.120377165807505e-287,,
1702,fast_reset,-1,s1702_fast_reset.parquet,6.0,2080,2054,2324,0.508094583709122,0.4559806235442307,0,,-52.0,0.0,0,,-52.0,0.0,0,,-52.0,0.0,,
1702,both_reset,-1,s1702_both_reset.parquet,6.0,2080,2054,2758,1.0,0.7710682253694335,9,19.09999999999989,-52.0,0.0,2,60.900000000000176,-52.0,0.0,3,39.60000000000008,-52.0,0.0,True,
1702,trained_bypass,-1,s1702_trained_bypass.parquet,6.0,0,0,66,0.508094583709122,0.5766130845517528,10,0.1000000000006551,-51.9999978665467,3.5931820975605205e-26,2,66.69999999999999,-52.00000002922353,-6.8883563373352255e-28,3,44.70000000000063,-51.99999999999894,8.120377165807505e-287,,True
1703,naive_bypass,-1,s1703_naive_bypass.parquet,0.0,0,0,66,1.0,1.0,10,0.1,-52.0,0.0,2,66.7,-52.0,0.0,3,44.7,-52.0,0.0,,
1703,train,0,s1703_train00.parquet,0.0,2145,2109,2870,1.0,0.7646529629463895,8,19.1,-52.0,0.0,2,60.400000000000006,-52.0,0.0,2,44.1,-52.0,0.0,,
1703,train,1,s1703_train01.parquet,0.5,2145,2109,2627,0.7870491946499978,0.6298949282808635,4,22.00000000000002,-51.99999665998216,2.176145948538933e-25,0,,-51.9999987994066,1.4117628962580167e-26,1,167.00000000000003,-51.99999826743559,2.834134422350002e-26,,
1703,train,2,s1703_train02.parquet,1.0,2145,2109,2520,0.6651150825036428,0.552529167333455,2,27.50000000000008,-51.999996133792656,2.188817463127821e-25,0,,-51.99999937452691,-1.3792388161807672e-27,0,,-52.0,0.0,,
1703,train,3,s1703_train03.parquet,1.5,2145,2109,2462,0.5951116471236024,0.507994590880803,2,75.8000000000001,-51.99999775849948,1.8516470511854675e-26,0,,-51.99999973285569,-2.3094711281328281e-29,0,,-51.99999960903745,7.594487154163422e-29,,
1703,train,4,s1703_train04.parquet,2.0,2145,2109,2446,0.5548150959528597,0.4822902657901637,1,170.10000000000014,-51.9999982487413,-8.316311142558841e-27,0,,-51.999999683347816,-3.540674579539271e-29,0,,-51.99999953988097,1.3838058431167003e-28,,
1703,train,5,s1703_train05.parquet,2.5,2145,2109,2429,0.5315568608054888,0.467414436949527,1,169.90000000000015,-51.99999805147717,6.293733541115309e-26,0,,-51.99999950362991,-2.506780646675303e-27,0,,-51.99999926702693,9.43888177053364e-28,,
1703,train,6,s1703_train06.parquet,3.0,2145,2109,2410,0.5180966542461823,0.4587821131049142,1,172.00000000000014,-51.999998554903975,-2.7540192644770853e-26,0,,-51.999999483541146,6.1600222907954445e-28,0,,-51.99999927432013,9.0687779225361e-28,,
1703,train,7,s1703_train07.parquet,3.5,2145,2109,2409,0.5102858046269726,0.4537592528955895,0,,-51.99999856461602,1.866432448417838e-26,0,,-51.99999942624845,9.377173577657712e-28,0,,-51.99999919397972,1.3802331354542984e-27,,
1703,train,8,s1703_train08.parquet,4.0,2145,2109,2410,0.5057409327640117,0.4508286552594575,0,,-51.99999767873483,4.4308960262571005e-26,0,,-52.000000013467165,-2.6748997347157904e-29,0,,-51.99999999999894,5.134572128510136e-71,,
1703,train,9,s1703_train09.parquet,4.5,2145,2109,2397,0.5030892183656317,0.4491141154007185,0,,-51.99999802846987,-9.532320167891508e-27,0,,-52.00000001907633,-1.445943637247972e-28,0,,-51.99999999999894,1.910099842241185e-114,,
1703,train,10,s1703_train10.parquet,5.0,2145,2109,2395,0.5015378385467306,0.4481082743330432,0,,-51.99999784974863,2.7899107852161947e-26,0,,-52.00000003691847,-1.9401571576198394e-27,0,,-51.99999999999894,7.105716534920804e-158,,
1703,train,11,s1703_train11.parquet,5.5,2145,2109,2389,0.5006277159121006,0.4475165695531632,0,,-51.999998092719,-5.4730893601623005e-27,0,,-52.00000003819616,-2.3215742993917898e-27,0,,-51.99999999999894,2.6433805373966268e-201,,
1703,sham,-1,s1703_sham.parquet,6.0,2145,2109,2397,0.5000923192868346,0.4471675276144961,0,,-51.99999773130942,4.8810430699444195e-26,0,,-52.000000019503695,-1.4775986372166222e-28,0,,-51.99999999999894,9.833576432647763e-245,,
1703,resource_reset,-1,s1703_resource_reset.parquet,6.0,2145,2109,2870,1.0,0.7646529629463893,8,19.09999999999989,-51.99999773130942,4.8810430699444195e-26,2,60.40000000000045,-52.000000019503695,-1.4775986372166222e-28,2,44.10000000000025,-51.99999999999894,9.833576432647763e-245,,
1703,fast_reset,-1,s1703_fast_reset.parquet,6.0,2145,2109,2397,0.5000923192868346,0.4471675276144961,0,,-52.0,0.0,0,,-52.0,0.0,0,,-52.0,0.0,,
1703,both_reset,-1,s1703_both_reset.parquet,6.0,2145,2109,2870,1.0,0.7646529629463893,8,19.09999999999989,-52.0,0.0,2,60.40000000000045,-52.0,0.0,2,44.10000000000025,-52.0,0.0,True,
1703,trained_bypass,-1,s1703_trained_bypass.parquet,6.0,0,0,66,0.5000923192868346,0.5697254717340275,10,0.1000000000006551,-51.99999773130942,4.8810430699444195e-26,2,66.69999999999999,-52.000000019503695,-1.4775986372166222e-28,3,44.70000000000063,-51.99999999999894,9.833576432647763e-245,,True
1704,naive_bypass,-1,s1704_naive_bypass.parquet,0.0,0,0,66,1.0,1.0,10,0.1,-52.0,0.0,2,66.7,-52.0,0.0,3,44.7,-52.0,0.0,,
1704,train,0,s1704_train00.parquet,0.0,2171,2134,2854,1.0,0.763799782887269,8,16.0,-52.0,0.0,1,54.900000000000006,-52.0,0.0,2,41.7,-52.0,0.0,,
1704,train,1,s1704_train01.parquet,0.5,2171,2134,2624,0.7862772054081835,0.628814556123535,5,24.399999999999977,-51.99999716203253,1.080676589546925e-25,0,,-51.99999902710271,2.9139772210075668e-27,0,,-51.99999861178832,7.11643253506343e-27,,
1704,train,2,s1704_train02.parquet,1.0,2171,2134,2535,0.6641375213502878,0.5514504035895098,4,29.90000000000004,-51.9999996063985,2.158071795128448e-26,0,,-51.99999812370499,9.619390605773756e-26,0,,-51.999997398883714,1.3192756898378556e-25,,
