condition,model,seed,phase,pulse,rest_ms,onset_s,input_events,sensory_spikes,total_spikes,resource_before,resource_after,aBN1,aBN1_latency_ms,aBN1_v_before_mV,aBN1_g_before_mV,aDN1,aDN1_latency_ms,aDN1_v_before_mV,aDN1_g_before_mV,aDN2,aDN2_latency_ms,aDN2_v_before_mV,aDN2_g_before_mV
f200_p400_gap800,std,2701,train,3,0.0,3.6000000000000005,5581,5464,6239,0.560714349843774,0.3691730233253604,4,37.499999999999645,-51.99999999999894,1.4705519357945e-69,0,,-52.00000000000032,-3.236206511414363e-71,0,,-51.99999999999894,8.732420100835583e-83
f200_p400_gap800,std,2701,train,4,0.0,4.800000000000001,5581,5464,6220,0.5554637428641169,0.3672916727145761,4,37.59999999999941,-51.99999999999894,2.2123336586741e-69,0,,-52.00000000000032,-6.403915269615598e-72,0,,-51.99999999999894,7.68493833067972e-80
f200_p400_gap800,std,2701,train,5,0.0,6.000000000000001,5581,5464,6216,0.554137977496112,0.3668145923804864,6,37.69999999999918,-51.99999999999894,1.0709167059998214e-69,0,,-52.00000000000032,-3.0468086942524296e-71,0,,-51.99999999999894,3.65020042240674e-86
f200_p400_gap800,std,2701,train,6,0.0,7.200000000000001,5581,5464,6213,0.55380178466684,0.366693102220288,6,37.69999999999918,-51.99999999999894,1.8303000797721332e-69,0,,-52.00000000000032,-1.4531973143033173e-71,0,,-51.99999999999894,1.1696186836296114e-79
f200_p400_gap800,std,2701,train,7,0.0,8.4,5581,5464,6208,0.5537161719979301,0.3666620365900303,6,37.69999999999918,-51.99999999999894,1.9952933910603955e-69,0,,-52.00000000000032,-1.4246804741517957e-71,0,,-51.99999999999894,4.661158839235692e-80
f200_p400_gap800,std,2701,recovery,-1,1000.0,9.9,5581,5464,6344,0.6158611072318955,0.3886664894317816,6,33.500000000000085,-51.99999999999894,1.6892636271797582e-95,0,,-52.00000000000032,-1.2225693545390133e-97,0,,-51.99999999999894,6.729331492966549e-106
f200_p400_gap800,std,2701,recovery,-1,5000.0,13.9,5581,5464,7018,0.94801245414503,0.5062767674859321,17,18.90000000000036,-51.99999999999894,1.23516e-319,3,52.69999999999975,-52.00000000000032,-1.23516e-319,5,39.79999999999961,-51.99999999999894,1.23516e-319
f200_p400_gap800,std,2702,train,0,0.0,0.0,5562,5462,7106,1.0,0.5241404055395085,19,14.6,-52.0,0.0,4,48.0,-52.0,0.0,5,32.6,-52.0,0.0
f200_p400_gap800,std,2702,train,1,0.0,1.2000000000000002,5562,5462,6433,0.6646674114053146,0.4056981074875159,10,20.399999999999974,-51.99999999999894,-2.1920543565799545e-69,1,114.39999999999984,-51.99999999999894,2.1245466567203978e-69,2,75.3999999999999,-51.99999999999894,2.984468681476664e-69
f200_p400_gap800,std,2702,train,2,0.0,2.4000000000000004,5562,5462,6283,0.5812025346491615,0.3760604203094783,7,22.999999999999687,-51.99999999999894,4.480205030695192e-69,0,,-52.00000000000032,-1.7834883749642016e-70,0,,-51.99999999999894,4.185409692973436e-76
f200_p400_gap800,std,2702,train,3,0.0,3.6000000000000005,5562,5462,6226,0.5603172094879895,0.3686052431481263,7,23.7999999999996,-51.99999999999894,6.436225424375502e-69,0,,-52.00000000000032,-8.502809683492023e-71,0,,-51.99999999999894,2.9711020781902265e-76
f200_p400_gap800,std,2702,train,4,0.0,4.800000000000001,5562,5462,6244,0.5550636349356416,0.3667202338049006,7,23.999999999999133,-51.99999999999894,2.272599575854136e-69,0,,-51.99999999999894,-8.24538693935462e-73,0,,-51.99999999999894,4.7064773272329396e-76
f200_p400_gap800,std,2702,train,5,0.0,6.000000000000001,5562,5462,6225,0.5537352913024619,0.3662411886925416,6,24.09999999999979,-51.99999999999894,1.0895159766017264e-69,0,,-51.99999999999894,-1.5751536151024917e-70,0,,-51.99999999999894,1.44259279225625e-75
f200_p400_gap800,std,2702,train,6,0.0,7.200000000000001,5562,5462,6229,0.5533977139173447,0.3661188362879067,7,24.0999999999989,-51.99999999999894,-3.217405124113516e-70,0,,-52.00000000000032,-3.499726384897655e-72,0,,-51.99999999999894,1.2892906281768907e-78
f200_p400_gap800,std,2702,train,7,0.0,8.4,5562,5462,6231,0.5533114936350498,0.366087432047437,7,24.10000000000068,-51.99999999999894,2.245195358264298e-69,0,,-51.99999999999894,-1.1690909101917424e-70,0,,-51.99999999999894,2.576266966880559e-75
f200_p400_gap800,std,2702,recovery,-1,1000.0,9.9,5562,5462,6311,0.6155125919596025,0.3880959790462735,7,21.5999999999994,-51.99999999999894,2.020654333117467e-95,0,,-51.99999999999894,-8.30468517115292e-99,1,121.80000000000037,-51.99999999999894,5.344957587892937e-102
f200_p400_gap800,std,2702,recovery,-1,5000.0,13.9,5562,5462,6991,0.9479652877319418,0.5057287945472839,18,15.100000000000335,-51.99999999999894,1.23516e-319,4,48.79999999999996,-51.99999999999894,-1.23516e-319,6,33.200000000000784,-51.99999999999894,1.23516e-319
f200_p400_gap800,std,2703,train,0,0.0,0.0,5643,5532,7208,1.0,0.5220843026011142,19,15.4,-52.0,0.0,5,35.9,-52.0,0.0,6,32.7,-52.0,0.0
f200_p400_gap800,std,2703,train,1,0.0,1.2000000000000002,5643,5532,6493,0.6632185001533925,0.4036765907750192,8,26.59999999999996,-51.99999999999894,6.033569960678274e-70,0,,-51.99999999999894,2.37697541419001e-69,0,,-51.99999999999894,3.295738797018397e-69
f200_p400_gap800,std,2703,train,2,0.0,2.4000000000000004,5643,5532,6339,0.5797779958986977,0.3741459618266277,5,30.29999999999955,-51.99999999999894,7.669004858812049e-70,0,,-51.99999999999894,9.595829427135434e-70,0,,-51.99999999999894,1.4202409600023414e-69
f200_p400_gap800,std,2703,train,3,0.0,3.6000000000000005,5643,5532,6300,0.5589681133968636,0.3667300833572331,4,31.899999999999817,-51.99999999999894,2.2742658281538188e-69,0,,-52.00000000000032,-5.135787548371687e-71,0,,-51.99999999999894,1.282642004976991e-76
f200_p400_gap800,std,2703,train,4,0.0,4.800000000000001,5643,5532,6289,0.5537422321646798,0.3648542671182345,5,32.29999999999933,-51.99999999999894,2.221987431876309e-69,0,,-52.00000000000032,-2.4839515838911272e-70,0,,-51.99999999999894,4.013255367976832e-84
f200_p400_gap800,std,2703,train,5,0.0,6.000000000000001,5643,5532,6305,0.5524203668025565,0.3643761852272543,4,32.29999999999933,-51.99999999999894,2.4478728993772146e-69,0,,-52.00000000000032,-2.0322022825739974e-70,0,,-51.99999999999894,7.021114641633039e-76
f200_p400_gap800,std,2703,train,6,0.0,7.200000000000001,5643,5532,6282,0.5520834681880725,0.3642533709676162,4,32.399999999999096,-51.99999999999894,6.941627892481787e-70,0,,-52.00000000000032,-2.156374437749981e-71,0,,-51.99999999999894,6.6167394894010725e-84
f200_p400_gap800,std,2703,train,7,0.0,8.4,5643,5532,6279,0.5519969224420578,0.3642215597436393,4,32.40000000000087,-51.99999999999894,2.0788843134023376e-69,0,,-52.00000000000032,-3.276044014341744e-71,0,,-51.99999999999894,4.0132553681637946e-84
