model,seed,interval_ms,phase,pulse,rest_ms,onset_s,input_events,sensory_spikes,total_spikes,resource_before,resource_after,aBN1,aBN1_latency_ms,aBN1_v_before_mV,aBN1_g_before_mV,aDN1,aDN1_latency_ms,aDN1_v_before_mV,aDN1_g_before_mV,aDN2,aDN2_latency_ms,aDN2_v_before_mV,aDN2_g_before_mV
static,1703,2000.0,recovery,-1,10000.0,32.3,2145,2109,3062,1.0,1.0,10,19.000000000005457,-51.99999999999894,1.23516e-319,3,57.40000000000123,-51.99999999999894,1.23516e-319,4,43.2000000000059,-51.99999999999894,1.23516e-319
static,1704,500.0,train,0,0.0,0.0,2171,2134,3037,1.0,1.0,10,15.8,-52.0,0.0,2,54.0,-52.0,0.0,3,41.0,-52.0,0.0
static,1704,500.0,train,1,0.0,0.5,2171,2134,3037,1.0,1.0,10,15.800000000000036,-51.99999581894841,3.5714574362817067e-25,2,54.00000000000005,-51.99999777243669,3.069398536560943e-26,3,41.00000000000004,-51.99999738146497,4.4719173703070654e-26
static,1704,500.0,train,2,0.0,1.0,2171,2134,3037,1.0,1.0,10,15.800000000000036,-51.99999581894841,3.5714574362817067e-25,2,54.00000000000005,-51.99999777243669,3.069398536560943e-26,3,41.00000000000015,-51.99999738146497,4.4719173703070654e-26
static,1704,500.0,train,3,0.0,1.5,2171,2134,3037,1.0,1.0,10,15.800000000000036,-51.99999581894841,3.5714574362817067e-25,2,54.00000000000005,-51.99999777243669,3.069398536560943e-26,3,41.00000000000015,-51.99999738146497,4.4719173703070654e-26
static,1704,500.0,train,4,0.0,2.0,2171,2134,3037,1.0,1.0,10,15.800000000000036,-51.99999581894841,3.5714574362817067e-25,2,54.00000000000027,-51.99999777243669,3.069398536560943e-26,3,40.99999999999993,-51.99999738146497,4.4719173703070654e-26
static,1704,500.0,train,5,0.0,2.5,2171,2134,3037,1.0,1.0,10,15.800000000000036,-51.99999581894841,3.5714574362817067e-25,2,54.00000000000027,-51.99999777243669,3.069398536560943e-26,3,40.99999999999993,-51.99999738146497,4.4719173703070654e-26
static,1704,500.0,train,6,0.0,3.0,2171,2134,3037,1.0,1.0,10,15.800000000000036,-51.99999581894841,3.5714574362817067e-25,2,54.00000000000027,-51.99999777243669,3.069398536560943e-26,3,40.99999999999993,-51.99999738146497,4.4719173703070654e-26
static,1704,500.0,train,7,0.0,3.5,2171,2134,3037,1.0,1.0,10,15.800000000000036,-51.99999581894841,3.5714574362817067e-25,2,54.00000000000027,-51.99999777243669,3.069398536560943e-26,3,41.00000000000037,-51.99999738146497,4.4719173703070654e-26
static,1704,500.0,train,8,0.0,4.0,2171,2134,3037,1.0,1.0,10,15.80000000000048,-51.99999581894841,3.5714574362817067e-25,2,54.00000000000027,-51.99999777243669,3.069398536560943e-26,3,41.00000000000037,-51.99999738146497,4.4719173703070654e-26
static,1704,500.0,train,9,0.0,4.5,2171,2134,3037,1.0,1.0,10,15.80000000000048,-51.99999581894841,3.5714574362817067e-25,2,54.00000000000027,-51.99999777243669,3.069398536560943e-26,3,41.00000000000037,-51.99999738146497,4.4719173703070654e-26
static,1704,500.0,train,10,0.0,5.0,2171,2134,3037,1.0,1.0,10,15.80000000000048,-51.99999581894841,3.5714574362817067e-25,2,54.00000000000027,-51.99999777243669,3.069398536560943e-26,3,41.00000000000037,-51.99999738146497,4.4719173703070654e-26
static,1704,500.0,train,11,0.0,5.5,2171,2134,3037,1.0,1.0,10,15.80000000000048,-51.99999581894841,3.5714574362817067e-25,2,54.00000000000027,-51.99999777243669,3.069398536560943e-26,3,41.00000000000037,-51.99999738146497,4.4719173703070654e-26
static,1704,500.0,recovery,-1,2000.0,7.8,2171,2134,3037,1.0,1.0,10,15.80000000000048,-51.99999999999894,1.6100226786405654e-181,2,54.00000000000027,-51.99999999999894,1.3836931677937922e-182,3,41.00000000000037,-51.99999999999894,2.015952454048272e-182
static,1704,500.0,recovery,-1,10000.0,15.8,2171,2134,3037,1.0,1.0,10,15.80000000000048,-51.99999999999894,1.23516e-319,2,54.00000000000027,-51.99999999999894,1.23516e-319,3,41.00000000000037,-51.99999999999894,1.23516e-319
static,1704,2000.0,train,0,0.0,0.0,2171,2134,3037,1.0,1.0,10,15.8,-52.0,0.0,2,54.0,-52.0,0.0,3,41.0,-52.0,0.0
static,1704,2000.0,train,1,0.0,2.0,2171,2134,3037,1.0,1.0,10,15.800000000000036,-51.99999999999894,1.8386577967786444e-155,2,54.00000000000027,-51.99999999999894,1.5801878228582294e-156,3,40.99999999999993,-51.99999999999894,2.3022326000405387e-156
