seed,event_file,label,matches_expected,part
3701,events_00004.parquet,A,True,frequency
3701,events_00006.parquet,A,True,frequency
3701,events_00008.parquet,A,True,frequency
3701,events_00010.parquet,A,True,frequency
3701,events_00012.parquet,A,True,frequency
3701,events_00014.parquet,A,True,frequency
3701,events_00016.parquet,A,True,frequency
3701,events_00018.parquet,A,True,frequency
3701,events_00020.parquet,A,True,frequency
3701,events_00022.parquet,A,True,frequency
3701,events_00024.parquet,A,True,frequency
3701,events_00026.parquet,A,True,frequency
3701,events_00028.parquet,A,True,frequency
3701,events_00030.parquet,A,True,frequency
3701,events_00032.parquet,A,True,frequency
3701,events_00034.parquet,A,True,frequency
3701,events_00036.parquet,A,True,frequency
3701,events_00038.parquet,A,True,frequency
3701,events_00040.parquet,A,True,frequency
3701,events_00042.parquet,A,True,frequency
3701,events_00044.parquet,A,True,frequency
3701,events_00046.parquet,A,True,frequency
3701,events_00048.parquet,A,True,frequency
3701,events_00050.parquet,A,True,frequency
3701,events_00052.parquet,A,True,frequency
3701,events_00054.parquet,A,True,frequency
3702,events_00055.parquet,A,True,frequency
3702,events_00057.parquet,A,True,frequency
3702,events_00059.parquet,A,True,frequency
3702,events_00061.parquet,A,True,frequency
3702,events_00063.parquet,A,True,frequency
3702,events_00065.parquet,A,True,frequency
3702,events_00067.parquet,A,True,frequency
3702,events_00069.parquet,A,True,frequency
3702,events_00071.parquet,A,True,frequency
3702,events_00073.parquet,A,True,frequency
3702,events_00075.parquet,A,True,frequency
3702,events_00077.parquet,A,True,frequency
3702,events_00079.parquet,A,True,frequency
3702,events_00081.parquet,A,True,frequency
3702,events_00083.parquet,A,True,frequency
3702,events_00085.parquet,A,True,frequency
3702,events_00087.parquet,A,True,frequency
3702,events_00089.parquet,A,True,frequency
3702,events_00091.parquet,A,True,frequency
3702,events_00093.parquet,A,True,frequency
3702,events_00095.parquet,A,True,frequency
3702,events_00097.parquet,A,True,frequency
3702,events_00099.parquet,A,True,frequency
3702,events_00101.parquet,A,True,frequency
3702,events_00103.parquet,A,True,frequency
3702,events_00105.parquet,A,True,frequency
3702,events_00107.parquet,A,True,frequency
3702,events_00109.parquet,A,True,frequency
3703,events_00110.parquet,A,True,frequency
3703,events_00112.parquet,A,True,frequency
3703,events_00114.parquet,A,True,frequency
3703,events_00116.parquet,A,True,frequency
3703,events_00118.parquet,A,True,frequency
3703,events_00120.parquet,A,True,frequency
3703,events_00122.parquet,A,True,frequency
3703,events_00124.parquet,A,True,frequency
3703,events_00126.parquet,A,True,frequency
3703,events_00128.parquet,A,True,frequency
3703,events_00130.parquet,A,True,frequency
3703,events_00132.parquet,A,True,frequency
3703,events_00134.parquet,A,True,frequency
3703,events_00136.parquet,A,True,frequency
3703,events_00138.parquet,A,True,frequency
3703,events_00140.parquet,A,True,frequency
3703,events_00142.parquet,A,True,frequency
3703,events_00144.parquet,A,True,frequency
3703,events_00146.parquet,A,True,frequency
3703,events_00148.parquet,A,True,frequency
3703,events_00150.parquet,A,True,frequency
3703,events_00152.parquet,A,True,frequency
3703,events_00154.parquet,A,True,frequency
3703,events_00156.parquet,A,True,frequency
3703,events_00158.parquet,A,True,frequency
3703,events_00160.parquet,A,True,frequency
3703,events_00162.parquet,A,True,frequency
3703,events_00164.parquet,A,True,frequency
